id,locality,type_of_property,subtype_of_property,price,type_of_sale,nr_of_rooms,area,equiped_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,total_land_area,nr_of_facades,swimming_pool,building_condition
8723713,8310,HOUSE,HOUSE,265000,FOR_SALE,3,110,SEMI_EQUIPPED,,False,,,,,243,3,,TO_RENOVATE
8927577,4032,HOUSE,HOUSE,279000,FOR_SALE,4,170,INSTALLED,False,False,True,,True,330,450,3,False,AS_NEW
8828290,4287,HOUSE,HOUSE,279000,FOR_SALE,4,273,,False,False,,,,,14,4,,TO_BE_DONE_UP
9013222,9770,HOUSE,HOUSE,285000,FOR_SALE,3,,SEMI_EQUIPPED,True,False,,,,,966,4,,TO_BE_DONE_UP
8951012,4020,HOUSE,HOUSE,289000,FOR_SALE,3,155,INSTALLED,False,False,,,,,565,4,,
9019272,4880,HOUSE,VILLA,295000,FOR_SALE,2,,INSTALLED,,False,True,10,True,544,715,4,,GOOD
8759855,2470,HOUSE,HOUSE,298000,FOR_SALE,3,187,NOT_INSTALLED,,False,True,29,True,76,212,3,,
8989930,8550,HOUSE,HOUSE,299000,FOR_SALE,4,171,,False,False,,,True,,533,2,,GOOD
8661959,4400,HOUSE,HOUSE,299483,FOR_SALE,4,140,HYPER_EQUIPPED,False,False,,,,,875,3,,AS_NEW
8887899,1500,HOUSE,HOUSE,309000,FOR_SALE,2,133,INSTALLED,,False,True,18,,,0,,,GOOD
9012639,4000,HOUSE,HOUSE,315000,FOR_SALE,8,265,INSTALLED,False,False,True,,True,15,90,2,False,TO_BE_DONE_UP
9012636,4000,HOUSE,HOUSE,315000,FOR_SALE,8,255,INSTALLED,False,False,True,19,,,92,2,False,TO_BE_DONE_UP
8949377,4600,HOUSE,HOUSE,320000,FOR_SALE,6,333,INSTALLED,False,False,True,10,,,4430,4,,
8611755,4602,HOUSE,HOUSE,320000,FOR_SALE,6,333,INSTALLED,False,False,True,10,,,4430,4,,
8909526,8550,HOUSE,VILLA,325000,FOR_SALE,4,190,,False,False,,,,,625,4,,TO_RENOVATE
8964226,4600,HOUSE,HOUSE,339000,FOR_SALE,5,187,INSTALLED,False,False,True,10,,,780,4,,
8948556,8580,HOUSE,APARTMENT_BLOCK,345000,FOR_SALE,4,488,INSTALLED,False,False,True,,,,283,2,False,AS_NEW
8984493,2440,HOUSE,HOUSE,369000,FOR_SALE,3,245,INSTALLED,,False,True,28,True,150,250,2,,AS_NEW
9008272,1300,HOUSE,APARTMENT_BLOCK,410000,FOR_SALE,2,194,SEMI_EQUIPPED,,False,True,63,,,144,3,,GOOD
8500951,8400,HOUSE,HOUSE,429900,FOR_SALE,3,222,INSTALLED,False,True,True,19,,,0,,False,AS_NEW
7970998,8300,HOUSE,HOUSE,448000,FOR_SALE,4,362,HYPER_EQUIPPED,False,True,True,,True,,1275,,False,AS_NEW
7959301,8340,HOUSE,HOUSE,448000,FOR_SALE,4,362,HYPER_EQUIPPED,False,True,True,,True,,1275,,False,AS_NEW
8968336,7740,HOUSE,HOUSE,449000,FOR_SALE,4,332,,False,False,True,,,,2630,2,,GOOD
9003554,1540,HOUSE,APARTMENT_BLOCK,459000,FOR_SALE,3,421,INSTALLED,,False,True,,,,270,3,,GOOD
9003551,1540,HOUSE,HOUSE,459000,FOR_SALE,3,421,INSTALLED,,False,True,,,,270,3,,GOOD
8925752,1540,HOUSE,HOUSE,459000,FOR_SALE,3,421,INSTALLED,,False,True,,,,270,3,,GOOD
8646947,4550,HOUSE,VILLA,474000,FOR_SALE,4,290,,,True,True,60,,,2307,4,,GOOD
